sgRNA	Gene	Input1_DOI_rep1	Input1_DOI_rep2	Input1_DOI_rep3	amCD19_1to2rep1	amCD19_1to2rep2	amCD19_1to2rep3
BRDN0007693631	Zfp966	1018.8979575366146	1063.3672727431347	1038.0173751367186	879.3316363396685	782.1451397471002	792.0599883935516
BRDN0007693630	Zfp966	1515.085791521365	1480.3106714782848	1389.8409633467745	1691.1686281602922	1819.784499111213	1858.976614550537
BRDN0007693629	Zfp966	1325.0093829570508	1171.104585077799	1153.7609054616978	663.5388996379336	715.5795959388364	659.0648410886641
BRDN0007693628	Zfp966	991.2705725708712	1112.9264364170801	1180.4002894253836	433.4867309955555	613.7734701144328	525.0845445444813
BRDN0007693627	Zfp965	1809.0411675568744	1916.6467864336744	1807.8037117425329	1424.0419364722416	1592.678526118313	1575.253633633444
BRDN0007693626	Zfp965	1329.4297645515699	1409.2040453374066	1395.3525600289163	1364.1523223215397	1357.7413126773818	1464.9169188323522
BRDN0007693625	Zfp965	1594.652660222706	1648.380878720361	1690.2229825235063	2264.3977921741516	2212.325426568769	2127.922356878198
BRDN0007693624	Zfp965	1183.5571719324448	1226.0506143684775	1119.772725921823	1530.5123616290446	1461.505248613793	1598.897215376535
BRDN0007693623	Zfp965	2038.9010104718589	1913.4146670636344	1849.1406868585968	4261.668892660253	4368.853264945317	4247.963519842033
BRDN0007693622	Zfp965	1309.5380473762345	1134.4738988840131	1218.0628667533529	707.2678242559064	649.0140521305725	651.1836471743005
