sgRNA	Gene	pDNA_CP1704	AR2466_BM	AR2466_SP	AR2467_BM	AR2467_SP	AR2468_BM	AR2468_SP	AR2469_BM	AR2469_SP	AR2473_BM	AR2473_SP	AR2474_BM	AR2474_SP	AR2475_BM	AR2475_SP	AR2476_BM	AR2476_SP	AR2480_BM	AR2480_SP	AR2481_BM	AR2481_SP	AR2482_BM	AR2482_SP	AR2483_BM	AR2483_SP	ahEGFRv3_1to10rep1	ahEGFRv3_1to10rep2	ahEGFRv3_1to10rep3	ahEGFRv3_1to2rep1	ahEGFRv3_1to2rep2	ahEGFRv3_1to2rep3	amCD19_1to10rep1	amCD19_1to10rep2	amCD19_1to10rep3	NoCAR_T_rep1	NoCAR_T_rep2	NoCAR_T_rep3	amCD19_1to2rep1	amCD19_1to2rep2	amCD19_1to2rep3	Input1_DOI_rep1	Input1_DOI_rep2	Input1_DOI_rep3	Input2_ACT_rep1	Input2_ACT_rep2	Input2_ACT_rep3
BRDN0007693366	Tnfrsf11a	365.6313593	77.57823957	207.773787	212.1421701	120.1724675	354.6039733	133.4087334	140.4655649	118.0248026	22.81648396	80.99447732	1588.750862	143.3312695	342.1720646	409.7629392	12.14270414	95.59150097	64.25267509	33.02625628	17.00248607	124.2050862	101.4963226	88.58102686	78.06780974	123.5259039	161.7093473	207.1373474	200.1979626	260.1511887	261.5519581	251.1581916	176.0890866	203.1328195	225.8019226	255.5501652	268.6080601	269.0387562	154.9349706	169.772005	150.7451173	277.0640487	292.0493095	241.6357829	268.9056843	257.5421931	226.7846673
BRDN0007693365	Tnfrsf11a	591.9534774	93.62890982	225.7434118	627.7928175	429.0157089	111.9802021	321.3410362	163.6729191	126.1644442	588.9504922	383.0819873	295.7164014	383.5817784	686.6561027	733.7615423	791.7043101	273.6935607	1783.857164	797.8448228	137.9090537	240.7667825	58.97759287	388.0692605	284.0053078	338.1774746	409.6636797	448.3372809	450.2189476	366.2412124	455.0420684	435.8333326	448.939998	430.2248946	413.6457633	403.5002608	455.300187	415.1947586	503.4625567	482.6242554	480.3245043	460.0985886	450.7491126	456.7789679	383.9928908	361.7269228	389.9660206
BRDN0007693364	Tnfrsf11a	558.5665331	387.8911978	548.0735571	592.0246609	519.1450595	400.544569	714.6067808	471.4757221	561.6352675	1922.288774	343.6792686	397.1877155	473.6757192	73.98314911	238.234267	633.8491563	570.5303268	270.5375793	705.71895	4773.920255	1138.865098	651.4966655	724.1147434	325.7312061	597.3793714	709.5610147	728.2028526	702.957552	629.1599669	624.2243759	674.9876401	687.7935114	667.7340375	639.4476859	751.2790569	665.8050851	685.1644447	494.9396114	447.8628943	498.1143007	586.069419	595.2110778	651.8343589	619.9769944	621.1130934	663.0861339
BRDN0007696129	Tmx2	513.0657417	191.2704872	81.98641325	154.1730888	93.73452464	911.6336964	225.0547329	52.52190687	63.76052554	52.76311916	577.9065409	8.697541216	259.3613448	4.623946819	104.8230775	563.4214722	65.40471119	175.8494266	99.07876884	28.33747678	171.9762732	119.3267577	165.9136694	118.4477113	123.5259039	125.4472512	124.2824085	127.7281119	160.5188185	125.4282625	142.1998585	132.502679	150.0057744	153.7788955	144.107236	140.0190952	119.1590339	146.7164162	110.4914694	120.1591515	362.1212761	317.7468706	343.8215176	177.3338927	180.7097966	194.2635158
BRDN0007696128	Tmx2	426.6437841	363.8151924	272.913677	66.60277435	120.1724675	515.3960583	133.4087334	12.21439695	37.98499394	395.0103786	234.2272723	23.19344324	65.52286606	2.31197341	9.529370679	60.71352071	66.41093751	143.723089	95.60232081	49.11829309	1.91084748	353.8655572	142.0108526	4.037990159	89.100652	183.2705936	218.1846726	206.5390745	181.7368233	196.4070466	198.5257765	135.9895916	161.4645488	144.046054	216.160854	234.3176694	229.0087682	147.325198	157.0468638	149.1846089	293.9319376	271.9079778	302.1902923	230.7277168	237.8730996	238.2965794
BRDN0007696127	Tmx2	583.6806063	6.687779273	67.38609308	25.90107891	116.5672935	41.63366488	156.6102523	17.10015572	78.68320173	38.50281668	65.67119783	17.39508243	113.2999559	180.333926	181.0580429	13.35697456	30.18678978	18.59945858	55.62316847	564.8603705	217.8366127	48.00501746	28.12096091	96.91176381	83.02560754	99.96577831	84.69615985	98.7401716	107.0125457	80.7019053	84.02718912	77.58380547	72.91947367	84.67572096	121.0500782	104.7761937	102.4022947	95.88313505	117.6299632	105.490372	504.6011042	496.240741	472.2087227	276.3752867	276.903957	302.1876912
BRDN0007696126	Tmx2	533.3047301	60.19001346	196.5427715	41.93508014	237.9414856	10.04950532	40.602658	141.6870046	168.2192589	96.97005683	348.0573485	14.49590203	208.8541356	580.3053258	209.6461549	46.14227574	71.44206914	40.5806369	215.5397778	151.1332095	61.14711937	651.4966655	552.5768819	936.8137168	212.6265559	108.7862882	122.4411876	124.1046194	99.63237013	140.9852562	119.1154659	109.8377471	143.7555338	114.8475296	77.81790743	103.8236828	98.67857492	121.4519711	101.8011291	120.4712532	318.6954342	287.1876087	344.6948999	149.9453507	115.5559244	119.7238853
BRDN0007696125	Tmx2	642.4770834	786.4828425	266.1750677	170.20709	100.9448727	116.2871329	98.60645514	321.2386397	204.8476459	47.05899817	26.26847913	552.2938672	176.0927025	388.4115328	200.1167843	201.5688888	118.7347065	49.03493625	159.9166094	1124.053246	638.2230584	145.3866243	161.6955252	176.3255703	164.0262003	314.5981847	360.8792898	303.4674999	292.4394568	235.2995311	280.7062142	349.5629887	320.8456841	368.8746925	317.0359192	294.3258531	309.0687441	322.0455774	326.5084995	310.8532854	549.462511	632.0210977	552.2687713	454.8157871	424.1148288	481.7735192
BRDN0007696124	Tmx2	432.1097882	224.7093836	55.03197602	90.03708384	70.90175582	127.7722819	49.88326554	592.3982519	58.33409783	49.91105866	70.04927768	156.5557419	53.23732867	46.23946819	66.70559475	7.285622486	49.30508997	104.833312	43.45560037	52.89662333	0	24.68829469	137.7927085	71.33782614	58.72542973	151.9087808	150.0595006	153.9984328	107.0125457	101.1204597	110.8050846	139.4765042	125.004812	146.9659065	143.1465211	151.4492254	142.4322827	142.4549435	133.148428	170.7196256	340.5878008	326.4284791	316.1644099	190.6131857	182.2464445	236.2819948
BRDN0007694635	Tmprss7	535.9638672	888.1370874	357.1462933	473.6197287	448.2433037	600.0990317	303.939897	823.2503542	489.7351004	299.466352	192.6355136	398.6373057	202.028837	166.4620855	971.9958092	574.349906	326.0173296	654.36277	352.859475	882.2401105	380.2586486	183.7906383	265.7430806	321.693216	625.7295788	506.6892881	509.0975695	451.1248207	520.3023773	616.445879	503.239759	679.0762299	725.0279096	679.352336	427.5181334	470.5403606	415.1947586	728.7118264	690.5716838	748.7319595	503.1655392	481.3083744	463.4748992	416.6378196	456.3844353	487.817273
