sgRNA	Gene	ahEGFRv3_1to10rep1	ahEGFRv3_1to10rep2	ahEGFRv3_1to10rep3	amCD19_1to10rep1	amCD19_1to10rep2	amCD19_1to10rep3
BRDN0007693648	Zfp973	747.7444303015608	683.7379574758978	792.1151684393963	636.864214023003	658.5980267365785	697.732637101751
BRDN0007693647	Zfp973	1031.6585185801785	1009.6045584856873	957.4595968029596	882.2361406379263	855.4077876478432	878.0918859832967
BRDN0007693646	Zfp973	508.5494108726888	490.73958366355214	524.8724295727068	453.98401403659955	473.88272040645296	485.42403556118865
BRDN0007693645	Zfp968	697.8254697251006	705.0744611134435	691.1781627523372	608.3753386482366	517.862555246959	520.4652610581746
BRDN0007693644	Zfp968	266.234456407788	257.00788472498283	247.05533772927774	268.3468261107026	280.3714471082262	298.8810410037043
BRDN0007693643	Zfp968	544.9486529596911	522.7443391198708	530.6402584691101	579.8864632734703	537.6534809251867	590.5477120521467
BRDN0007693642	Zfp968	303.67367684013317	305.49993844667773	285.5075303719669	283.05076178800135	288.0679182053148	288.5747982104731
BRDN0007693641	Zfp968	259.99458633573045	256.03804365054896	258.5909955220845	397.925259266898	365.03262917620043	369.9941162769994
BRDN0007693640	Zfp968	342.1528756178213	373.38881365705055	401.8254131161015	397.925259266898	399.1170011775926	413.2803360085704
BRDN0007693639	Zfp967	487.74984396583034	431.5792781230844	495.07198027462266	519.2327286046128	533.2554974411362	566.843353627715
BRDN0007693638	Zfp967	114.3976179877214	101.83331281555924	117.27918756020188	93.73758994277966	89.05916555202481	99.97055509434246
BRDN0007693637	Zfp967	437.8308833893701	448.06657638846065	379.71540234655527	453.98401403659955	425.50490208189626	421.52533024315534
BRDN0007693636	Zfp967	117.51755302375017	153.2348897605558	147.07963685828597	147.95835275281888	151.73043019974597	166.96113325034514
BRDN0007693635	Zfp967	391.0318578489386	467.4633978771386	456.61978763193355	552.3165838785351	569.5388611845536	495.73027835441985
BRDN0007693634	Zfp967	241.2749761195579	293.86184555347097	265.32012923455505	215.04505928049454	233.0931246546822	224.67609289243975
BRDN0007693633	Zfp966	705.105318142501	655.6125663173148	626.770740075833	586.3194351322885	599.2252497018953	647.2320474149183
BRDN0007693632	Zfp966	700.9454047611293	700.225255741274	720.0173072343541	770.1186310985231	805.9304734522739	840.9894119276644
BRDN0007693631	Zfp966	246.47486784627247	241.4904275340405	234.55837512040375	307.863653243443	248.48606684885934	299.9116652830274
BRDN0007693630	Zfp966	604.2274186442376	633.306221605335	670.9907616149255	608.3753386482366	609.1207125410092	659.5995387667956
BRDN0007693629	Zfp966	265.19447806244506	198.817420258949	217.25488843119365	284.8887537476637	263.87900904303643	256.62544555145644
BRDN0007693628	Zfp966	214.23553914064192	252.15867935281335	230.71315585613485	224.23501907880626	280.3714471082262	248.38045131687147
BRDN0007693627	Zfp965	641.6666390765828	658.5220895406164	656.571189373917	596.4283909104314	583.8323075077182	634.8645560630408
BRDN0007693626	Zfp965	408.7114897197683	351.0824689450709	408.55454682857214	408.0342150450409	412.31095162974447	375.147237673615
