sgRNA	Gene	Input1_DOI_rep1	Input1_DOI_rep2	Input1_DOI_rep3	ahEGFRv3_1to10rep1	ahEGFRv3_1to10rep2	ahEGFRv3_1to10rep3
BRDN0007693674	Zmiz1	1024.0321144295003	937.4865081452101	1001.9301458363734	1268.583261281084	1240.2974402306627	1181.2198468618049
BRDN0007693673	Zmiz1	593.4658978820997	655.6237882620779	633.464791888118	485.0465410780616	458.0831879251914	494.35029502641834
BRDN0007693672	Zmiz1	548.1095160202816	508.83313764460416	515.7459180622428	362.45236036602404	367.1280423082761	360.5657267354405
BRDN0007693671	Zmiz1	505.947245557183	592.0967419864485	590.7059184356701	373.1127239062012	350.59074310520066	407.87978137493263
BRDN0007693670	Zmiz1	664.3751709336747	682.7615556031235	742.2095811622451	447.7352686874415	411.77875015658	427.4580108809294
BRDN0007693669	Zfpm2	935.8746398248397	835.1031131767201	843.0360605377705	867.0429012677438	891.3604270457696	898.9670381503515
BRDN0007693668	Zfpm2	989.5357113233289	949.8218569365945	925.9143708097993	744.4487205557062	785.5217121460863	791.2867758673693
BRDN0007693667	Zfpm2	639.4611020236619	664.8752998556162	609.7098621923136	568.5527221427828	550.6920634624142	566.1371365484065
BRDN0007693666	Zfpm2	650.3210807793084	594.5638117447254	615.5166227846214	374.8894511628974	378.704151750429	422.5634535044302
BRDN0007693665	Zfpm2	1146.0471698605888	1147.187437598744	1070.5554982909196	1154.8727168525274	1238.6437103103551	1142.0633878498113
BRDN0007693664	Zfpm2	764.0314465737258	689.5459974383848	774.9385954097978	602.3105400200105	648.2621287605597	566.1371365484065
BRDN0007693663	Zfp984	841.9677647024838	806.1150435169669	782.3290179818258	458.39563222761865	592.035311470103	544.92738791691
BRDN0007693662	Zfp984	787.0290486445069	801.7976714399823	771.7712714503572	730.2349025021366	658.184508282405	765.1824698593737
BRDN0007693661	Zfp984	673.9575051298334	672.8932765700159	712.6478908741328	744.4487205557062	704.4889460510163	691.7641092118857
BRDN0007693660	Zfp984	631.156412386991	487.24627725968156	543.7239463706347	447.7352686874415	479.58167688918957	494.35029502641834
BRDN0007693659	Zfp984	1082.803764165941	1118.81613537856	967.089582282527	991.4138092364775	942.6260545753036	907.1246337778501
BRDN0007693658	Zfp984	700.7880408790779	745.6718344391836	702.6180316692377	572.1061766561752	479.58167688918957	580.8208086779041
BRDN0007693657	Zfp983	986.3415999246092	898.6301594523495	839.3408492517565	712.4676299351747	757.408303500858	761.9194316083741
